Carpentry Work,neerajram108@gmail.com,rajivprabhakar@gmail.com,bunch of wood work,1.5,1,10.0
Yard work,neerajram108@gmail.com,rajivprabhakar@gmail.com,lots of lawnmowers,1.2,2,8.0
Bathroom tiles,neerajram108@gmail.com,rajivprabhakar@gmail.com,many tiles used,3.2,4,5.0
Sheetrock install,neerajram108@gmail.com,rajivprabhakar@gmail.com,bought a lot,1.3,5,3.0
Windows repair,neerajram108@gmail.com,rajivprabhakar@gmail.com,all day work,2.2,8,4.0
Plastic melting,neerajram108@gmail.com,rajivprabhakar@gmail.com,very hard to do,4.4,3,6.6
Plate breaking,neerajram108@gmail.com,rajivprabhakar@gmail.com,lots of fun,5.5,7,9.9
Some task very hard,neerajram108@gmail.com,rajivprabhakar@gmail.com,no fun for anyone,3.3,6,1.3
Salt eating,neerajram108@gmail.com,rajivprabhakar@gmail.com,very sour,1.1,3,8.8
Marsh walking,neerajram108@gmail.com,rajivprabhakar@gmail.com,lots of insects,4.2,5,6.6
Levitating,neerajram108@gmail.com,rajivprabhakar@gmail.com,concentration required,4.3,7,2.2
Spoon hiding,neerajram108@gmail.com,rajivprabhakar@gmail.com,dog was cool,3.3,8,1.1
Laptop shining,neerajram108@gmail.com,rajivprabhakar@gmail.com,light is bright,4.4,8,9.2
Clicker clicking,neerajram108@gmail.com,rajivprabhakar@gmail.com,complete in a jiffy,2.2,7,4.2
Track racoons,neerajram108@gmail.com,rajivprabhakar@gmail.com,those schemy little devils,5.2,7,1.1
